timestamp	readsProcessed	readsAfterFiltering	readsMapped	confidentMappings	mappingLocations	percentConfidentOfMapped	percentFiltered	percentMappedTotal	percentMappedFilter	meanLocationsPerRead	allocKB	heapAllocKB	stackAllocKB	totalFileSize	bytesProcessed	percentFileProcessed
2025-11-25 12:05:05	0	0	0	0	0	0	0	0	0	0	0	0	0	710000	0	0
2025-11-25 12:05:08	710000	246100	10500	2960	167251	28.19	34.66	1.48	4.27	15.93	360574	360574	1280	1685219558	456623578	27.10
2025-11-25 12:05:11	1536000	535300	14400	2960	284289	20.56	34.85	0.94	2.69	19.74	517998	517998	1344	1685219558	982522170	58.30
2025-11-25 12:05:14	2328000	804100	19200	2960	419803	15.42	34.54	0.82	2.39	21.86	573160	573160	1312	1685219558	1490298170	88.43
2025-11-25 12:05:17	2640100	910226	21416	3025	475264	14.12	34.48	0.81	2.35	22.19	938167	938167	1088	1685219558	1685219558	100.00
2025-11-25 12:05:20	2640100	910226	21416	3025	475264	14.12	34.48	0.81	2.35	22.19	991262	991262	1088	1685219558	1685219558	100.00
2025-11-25 12:05:23	2640100	910226	21416	3025	475264	14.12	34.48	0.81	2.35	22.19	985362	985362	1088	1685219558	1685219558	100.00
2025-11-25 12:05:26	2640100	910226	21416	3025	475264	14.12	34.48	0.81	2.35	22.19	952798	952798	1088	1685219558	1685219558	100.00
2025-11-25 12:05:29	2640100	910226	21416	3025	475264	14.12	34.48	0.81	2.35	22.19	875473	875473	1088	1685219558	1685219558	100.00
2025-11-25 12:05:31	2640100	910226	21416	3025	475264	14.12	34.48	0.81	2.35	22.19	314535	314535	896	1685219558	1685219558	100.00
